"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD86",0,4.22905436296023,0.622,0.034,0,"9","CD86"
"CLEC7A1",0,3.28342823458743,0.63,0.042,0,"9","CLEC7A"
"CYBB1",0,2.69893242174003,0.676,0.091,0,"9","CYBB"
"CSF1R",0,4.81450861421959,0.605,0.021,0,"9","CSF1R"
"TGFBI",0,3.64976783425153,0.646,0.063,0,"9","TGFBI"
"CTSZ3",0,3.16410700933764,0.843,0.265,0,"9","CTSZ"
"HLA-DQB11",0,2.8777949639683,0.852,0.276,0,"9","HLA-DQB1"
"C1QB",0,6.59760230190306,0.591,0.019,0,"9","C1QB"
"OLR1",0,5.83901809863596,0.584,0.012,0,"9","OLR1"
"IGSF6",0,4.18683365159549,0.602,0.03,0,"9","IGSF6"
"HLA-DMB1",0,2.51999894295062,0.701,0.133,0,"9","HLA-DMB"
"C5AR11",0,3.8402603305224,0.605,0.039,0,"9","C5AR1"
"CTSH",0,2.4827531379672,0.747,0.182,0,"9","CTSH"
"NPC22",0,2.98960750827869,0.905,0.341,0,"9","NPC2"
"CAPG",0,2.85212748271507,0.76,0.197,0,"9","CAPG"
"C1QC",0,6.82572416738749,0.573,0.012,0,"9","C1QC"
"RNF1301",0,2.40784621010403,0.733,0.176,0,"9","RNF130"
"MSR1",0,6.02897272995122,0.565,0.012,0,"9","MSR1"
"HLA-DQA11",0,2.76948182330352,0.81,0.258,0,"9","HLA-DQA1"
"APOC1",0,6.3459111805182,0.587,0.035,0,"9","APOC1"
"KCTD12",0,3.25612611544707,0.631,0.082,0,"9","KCTD12"
"MS4A4A",0,6.09541807345202,0.556,0.012,0,"9","MS4A4A"
"GLUL2",0,2.66454838077525,0.835,0.297,0,"9","GLUL"
"TIMP22",0,1.95502454228699,0.693,0.157,0,"9","TIMP2"
"MAFB1",0,3.48762136491418,0.606,0.075,0,"9","MAFB"
"FPR11",0,2.8007312247857,0.567,0.037,0,"9","FPR1"
"C1orf1621",0,2.09018020462936,0.714,0.19,0,"9","C1orf162"
"MRC1",0,6.56509405485319,0.534,0.01,0,"9","MRC1"
"MFSD1",0,2.54164566430182,0.675,0.152,0,"9","MFSD1"
"MNDA1",0,1.88549994632629,0.579,0.056,0,"9","MNDA"
"NCF21",0,2.91606318648534,0.567,0.045,0,"9","NCF2"
"CCDC88A",0,2.70983477456606,0.626,0.105,0,"9","CCDC88A"
"APOE",0,5.83512095842485,0.576,0.056,0,"9","APOE"
"KLF4",0,2.72117113050823,0.64,0.121,0,"9","KLF4"
"ITGAX",0,3.04190242556382,0.575,0.057,0,"9","ITGAX"
"GSN2",0,1.33537732640159,0.695,0.181,0,"9","GSN"
"ETS2",0,2.41829400374574,0.647,0.133,0,"9","ETS2"
"CTSL1",0,4.04236026541126,0.623,0.11,0,"9","CTSL"
"IER31",0,2.84119025977788,0.688,0.176,0,"9","IER3"
"SGK1",0,3.16420162923144,0.664,0.152,0,"9","SGK1"
"NAMPT1",0,2.03152030373672,0.772,0.26,0,"9","NAMPT"
"LILRB4",0,5.02672660542507,0.526,0.015,0,"9","LILRB4"
"SLC11A11",0,3.50523201246146,0.56,0.05,0,"9","SLC11A1"
"CTSS1",0,1.99348357540712,0.865,0.356,0,"9","CTSS"
"CEBPD2",0,2.11427173147711,0.778,0.269,0,"9","CEBPD"
"RNASE6",0,2.88630592353788,0.567,0.058,0,"9","RNASE6"
"CD831",0,2.0048964186435,0.674,0.167,0,"9","CD83"
"FGL21",0,2.64254799466157,0.608,0.102,0,"9","FGL2"
"ALDH2",0,2.99381644705042,0.606,0.101,0,"9","ALDH2"
"ACSL1",0,2.80086910865078,0.59,0.087,0,"9","ACSL1"
"PLSCR1",0,2.08324306860337,0.672,0.175,0,"9","PLSCR1"
"CREG1",0,3.06257682866125,0.618,0.122,0,"9","CREG1"
"TBXAS1",0,2.35163655629139,0.584,0.089,0,"9","TBXAS1"
"GRINA1",0,2.21832347663008,0.683,0.189,0,"9","GRINA"
"ASAH11",0,2.32549736103932,0.77,0.276,0,"9","ASAH1"
"CSF2RA",0,4.42773901329322,0.507,0.017,0,"9","CSF2RA"
"LY86",0,2.26193976609514,0.564,0.077,0,"9","LY86"
"MARCKS1",0,2.45569747643709,0.665,0.179,0,"9","MARCKS"
"HCK",0,2.91497071959415,0.523,0.037,0,"9","HCK"
"TLR2",0,3.09454894475235,0.52,0.034,0,"9","TLR2"
"BASP11",0,2.45823399519448,0.604,0.118,0,"9","BASP1"
"RBM47",0,2.73124447663428,0.55,0.067,0,"9","RBM47"
"S100A91",0,1.11372769020085,0.554,0.072,0,"9","S100A9"
"PPT1",0,2.13806113905214,0.685,0.204,0,"9","PPT1"
"DSE",0,2.58310018895853,0.586,0.105,0,"9","DSE"
"PILRA",0,3.4524323716158,0.51,0.029,0,"9","PILRA"
"EMILIN2",0,3.1239215912634,0.531,0.051,0,"9","EMILIN2"
"HLA-DRB12",0,2.98577562590279,0.945,0.466,0,"9","HLA-DRB1"
"CXCL8",0,3.14925393212631,0.538,0.063,0,"9","CXCL8"
"BRI33",0,2.05769764110134,0.825,0.352,0,"9","BRI3"
"IL18",0,3.50662417289529,0.517,0.047,0,"9","IL18"
"C15orf48",0,3.18439704992636,0.515,0.045,0,"9","C15orf48"
"ARHGAP18",0,2.28703612812597,0.616,0.146,0,"9","ARHGAP18"
"TPP1",0,1.84278814425415,0.69,0.22,0,"9","TPP1"
"CD302",0,2.71151185449432,0.551,0.082,0,"9","CD302"
"APLP22",0,1.8507864392966,0.743,0.274,0,"9","APLP2"
"LY96",0,2.67467818360076,0.555,0.087,0,"9","LY96"
"ANXA53",0,1.97204409368227,0.845,0.377,0,"9","ANXA5"
"OGFRL1",0,2.28660569882071,0.59,0.122,0,"9","OGFRL1"
"ATP6V1B2",0,2.3846845489387,0.596,0.129,0,"9","ATP6V1B2"
"LGALS9",0,2.09426803016959,0.614,0.148,0,"9","LGALS9"
"LIMS11",0,1.81137846563151,0.729,0.264,0,"9","LIMS1"
"PHACTR1",0,2.38611093497972,0.525,0.061,0,"9","PHACTR1"
"SLC15A3",0,3.73176105025647,0.502,0.038,0,"9","SLC15A3"
"TNFSF13B1",0,2.35759580441442,0.54,0.076,0,"9","TNFSF13B"
"GK",0,2.80618901777509,0.531,0.068,0,"9","GK"
"TMEM176B1",0,2.9924949940067,0.561,0.1,0,"9","TMEM176B"
"CPM",0,3.9556920712395,0.504,0.043,0,"9","CPM"
"HMOX1",0,3.71086941634003,0.515,0.055,0,"9","HMOX1"
"HAVCR2",0,2.57886705429674,0.522,0.064,0,"9","HAVCR2"
"GPNMB1",0,4.88127972534712,0.513,0.055,0,"9","GPNMB"
"IL13RA1",0,2.67270872376441,0.54,0.082,0,"9","IL13RA1"
"ALOX5",0,2.30002567722443,0.54,0.083,0,"9","ALOX5"
"DAB21",0,3.54199246843017,0.536,0.08,0,"9","DAB2"
"ALCAM",0,3.25706712212047,0.522,0.068,0,"9","ALCAM"
"BCL2A11",0,2.57098000314708,0.586,0.134,0,"9","BCL2A1"
"LGALS33",0,1.8124250712904,0.751,0.301,0,"9","LGALS3"
"FCGR3A1",0,1.63278404641753,0.594,0.145,0,"9","FCGR3A"
"SLC16A3",0,1.98002570084745,0.597,0.148,0,"9","SLC16A3"
"SOD22",0,2.80705650141987,0.763,0.315,0,"9","SOD2"
"IFNGR2",0,1.8162641703952,0.604,0.159,0,"9","IFNGR2"
"LGMN",0,3.99523160626292,0.526,0.082,0,"9","LGMN"
"FCGR2B",0,3.31969480016296,0.505,0.062,0,"9","FCGR2B"
"HLA-DPA12",0,2.91296976272684,0.939,0.496,0,"9","HLA-DPA1"
"LAIR1",0,2.14563837028212,0.566,0.124,0,"9","LAIR1"
"VEGFA",0,2.79468031838337,0.538,0.097,0,"9","VEGFA"
"QKI1",0,1.60985729846905,0.682,0.241,0,"9","QKI"
"LRP11",0,1.90209326591869,0.542,0.102,0,"9","LRP1"
"FBP1",0,4.10038296132042,0.505,0.065,0,"9","FBP1"
"METRNL1",0,1.31685377438604,0.709,0.269,0,"9","METRNL"
"PLIN2",0,2.59961017393635,0.677,0.238,0,"9","PLIN2"
"CFD1",0,2.17190001424939,0.504,0.066,0,"9","CFD"
"GSTO11",0,1.85728883812235,0.704,0.269,0,"9","GSTO1"
"CD4",0,1.67174724545423,0.574,0.14,0,"9","CD4"
"IRAK31",0,2.13668371653409,0.506,0.073,0,"9","IRAK3"
"MGAT1",0,1.75674009780473,0.687,0.256,0,"9","MGAT1"
"HEXB",0,1.96689718872414,0.618,0.187,0,"9","HEXB"
"LGALS12",0,1.42364928068312,0.884,0.457,0,"9","LGALS1"
"THEMIS2",0,1.66698451419625,0.555,0.13,0,"9","THEMIS2"
"IFITM33",0,1.15322764639953,0.75,0.325,0,"9","IFITM3"
"SNX10",0,1.82048844742925,0.564,0.139,0,"9","SNX10"
"TNFAIP2",0,2.48713456743543,0.502,0.078,0,"9","TNFAIP2"
"NINJ1",0,2.10225873723863,0.589,0.166,0,"9","NINJ1"
"GNAQ",0,1.67180043229555,0.579,0.157,0,"9","GNAQ"
"HLA-DPB11",0,2.66728252875866,0.924,0.503,0,"9","HLA-DPB1"
"LYN2",0,0.880448724591821,0.605,0.187,0,"9","LYN"
"CEP170",0,2.06300520572783,0.533,0.117,0,"9","CEP170"
"HLA-DRB51",0,2.54953538830376,0.719,0.304,0,"9","HLA-DRB5"
"RASGEF1B",0,1.90281843326586,0.541,0.128,0,"9","RASGEF1B"
"ATP1B3",0,1.80158029703089,0.719,0.307,0,"9","ATP1B3"
"PLEK2",0,1.32612241248422,0.635,0.224,0,"9","PLEK"
"ADA2",0,1.74797671674199,0.555,0.146,0,"9","ADA2"
"ATP6V0B1",0,1.58652702780073,0.78,0.373,0,"9","ATP6V0B"
"RGS1",0,1.39697087545503,0.66,0.253,0,"9","RGS1"
"BLVRB",0,1.97746633309499,0.558,0.152,0,"9","BLVRB"
"H2AFY",0,1.71277878578235,0.706,0.3,0,"9","H2AFY"
"PYCARD1",0,1.46517906791978,0.663,0.258,0,"9","PYCARD"
"GPR1832",0,1.93081301934173,0.696,0.291,0,"9","GPR183"
"AP2S12",0,1.54093054662782,0.717,0.313,0,"9","AP2S1"
"GNS",0,2.0147212239112,0.531,0.129,0,"9","GNS"
"ZEB23",0,1.07754398128183,0.719,0.318,0,"9","ZEB2"
"RHOQ",0,1.79692621798413,0.537,0.137,0,"9","RHOQ"
"ATF32",0,1.31574683157724,0.597,0.2,0,"9","ATF3"
"LAP3",0,1.70767679598405,0.587,0.191,0,"9","LAP3"
"NR4A3",0,2.24211028053011,0.513,0.119,0,"9","NR4A3"
"CDKN1A1",0,1.31483482748822,0.624,0.231,0,"9","CDKN1A"
"ATP6V1F",0,1.78484259205164,0.794,0.401,0,"9","ATP6V1F"
"PDXK",0,1.84170945156435,0.553,0.16,0,"9","PDXK"
"HIF1A1",0,1.65491156552036,0.728,0.335,0,"9","HIF1A"
"CEBPB3",0,1.61772474537848,0.784,0.393,0,"9","CEBPB"
"ATP6AP1",0,1.45307526862014,0.629,0.238,0,"9","ATP6AP1"
"PEA15",0,1.93101672339739,0.524,0.136,0,"9","PEA15"
"CD92",0,1.74511906769614,0.546,0.158,0,"9","CD9"
"YWHAH",0,1.74617033070826,0.654,0.266,0,"9","YWHAH"
"IFNGR1",0,1.24224642788516,0.654,0.267,0,"9","IFNGR1"
"ATP6V0D1",0,1.30957398375101,0.631,0.246,0,"9","ATP6V0D1"
"MXD1",0,1.83473796954214,0.527,0.144,0,"9","MXD1"
"RNF13",0,1.43841545916967,0.593,0.21,0,"9","RNF13"
"RGS22",0,1.58181248968937,0.638,0.257,0,"9","RGS2"
"ATOX11",0,1.5073548751995,0.622,0.241,0,"9","ATOX1"
"UPP1",0,1.57630605588554,0.603,0.222,0,"9","UPP1"
"SDCBP2",0,1.37178639984053,0.8,0.422,0,"9","SDCBP"
"RBPJ",0,1.05734331099532,0.637,0.259,0,"9","RBPJ"
"ATP13A3",0,2.06353765674486,0.513,0.136,0,"9","ATP13A3"
"MAP3K8",0,1.30381399136477,0.619,0.242,0,"9","MAP3K8"
"FABP5",0,1.95839064174368,0.557,0.182,0,"9","FABP5"
"GNA13",0,1.3790926118646,0.594,0.219,0,"9","GNA13"
"PSAP2",0,2.72950809340727,0.907,0.533,0,"9","PSAP"
"YBX32",0,0.647609715884076,0.645,0.271,0,"9","YBX3"
"MAN2B1",0,1.69572680595576,0.521,0.148,0,"9","MAN2B1"
"KDM6B",0,1.59593325413507,0.578,0.206,0,"9","KDM6B"
"ANXA22",0,1.1189323937543,0.827,0.455,0,"9","ANXA2"
"COMT",0,1.39667471280125,0.602,0.231,0,"9","COMT"
"CD632",0,1.42971041640166,0.871,0.501,0,"9","CD63"
"LAMP21",0,1.57337952272372,0.563,0.196,0,"9","LAMP2"
"ARRB21",0,0.797799680826457,0.658,0.292,0,"9","ARRB2"
"AP1S21",0,1.35639858311155,0.538,0.173,0,"9","AP1S2"
"HEXA",0,1.41801253042871,0.596,0.232,0,"9","HEXA"
"RGS101",0,0.946000677124858,0.715,0.352,0,"9","RGS10"
"CMTM61",0,0.94338098175295,0.68,0.32,0,"9","CMTM6"
"COTL11",0,1.02851326832828,0.807,0.447,0,"9","COTL1"
"PABPC4",0,1.33685648844599,0.604,0.244,0,"9","PABPC4"
"BNIP3L1",0,1.2761876080727,0.623,0.264,0,"9","BNIP3L"
"RILPL2",0,1.1713098973242,0.595,0.236,0,"9","RILPL2"
"CSTB2",0,2.32456569975496,0.825,0.466,0,"9","CSTB"
"ZFAND53",0,1.50929674595254,0.716,0.359,0,"9","ZFAND5"
"PLEKHB2",0,1.18484338176569,0.552,0.197,0,"9","PLEKHB2"
"CTSD3",0,3.31833738104949,0.803,0.45,0,"9","CTSD"
"TIMP13",0,1.49399680281178,0.689,0.336,0,"9","TIMP1"
"PLD31",0,2.42545282467978,0.564,0.213,0,"9","PLD3"
"PTPRE1",0,1.3420637395799,0.542,0.192,0,"9","PTPRE"
"RNASET23",0,1.21432553273982,0.788,0.439,0,"9","RNASET2"
"AKR1A1",0,1.37751965459402,0.563,0.217,0,"9","AKR1A1"
"CHMP1B",0,1.55217764954111,0.577,0.231,0,"9","CHMP1B"
"VAMP83",0,1.25787907448546,0.803,0.458,0,"9","VAMP8"
"PICALM",0,1.09004611817054,0.572,0.228,0,"9","PICALM"
"ARL8B",0,1.28301909333549,0.546,0.203,0,"9","ARL8B"
"YWHAE2",0,0.809240301884223,0.671,0.328,0,"9","YWHAE"
"SPINT21",0,0.571839643311306,0.53,0.187,0,"9","SPINT2"
"SKAP2",0,0.987667701156326,0.532,0.191,0,"9","SKAP2"
"CNDP2",0,1.25878017291867,0.523,0.184,0,"9","CNDP2"
"GRB22",0,1.06033926906261,0.721,0.384,0,"9","GRB2"
"FOSB3",0,0.857191954174299,0.765,0.43,0,"9","FOSB"
"SMS",0,1.38040564280406,0.52,0.185,0,"9","SMS"
"NCOA4",0,0.953735628578259,0.581,0.246,0,"9","NCOA4"
"FLOT1",0,1.07154996749352,0.57,0.236,0,"9","FLOT1"
"CTSA",0,1.26399112769724,0.58,0.246,0,"9","CTSA"
"TNFRSF1B2",0,0.735607935747532,0.641,0.308,0,"9","TNFRSF1B"
"RTN43",0,0.912198367002363,0.731,0.399,0,"9","RTN4"
"SOCS3",0,0.992032940963949,0.564,0.233,0,"9","SOCS3"
"TALDO11",0,0.920458486596572,0.655,0.325,0,"9","TALDO1"
"CTSC2",0,1.39916081980971,0.733,0.403,0,"9","CTSC"
"ELL2",0,1.28025313201832,0.535,0.206,0,"9","ELL2"
"SEC14L1",0,1.01164136975758,0.523,0.194,0,"9","SEC14L1"
"PTTG1IP2",0,0.757490603667338,0.556,0.228,0,"9","PTTG1IP"
"TMEM14C1",0,0.999170508802858,0.568,0.24,0,"9","TMEM14C"
"TPM42",0,0.716678637135653,0.715,0.387,0,"9","TPM4"
"NFE2L21",0,1.01351039188618,0.669,0.342,0,"9","NFE2L2"
"PARVG",0,0.806216961654028,0.523,0.198,0,"9","PARVG"
"AHR",0,1.20911488169588,0.512,0.189,0,"9","AHR"
"S100A113",0,1.71815156567176,0.952,0.629,0,"9","S100A11"
"RNH11",0,0.976848128495794,0.652,0.33,0,"9","RNH1"
"NR4A21",0,0.89302071613873,0.665,0.346,0,"9","NR4A2"
"SPAG91",0,0.956748820864075,0.548,0.231,0,"9","SPAG9"
"AKR1B1",0,1.48814984936456,0.517,0.201,0,"9","AKR1B1"
"FOSL2",0,0.954218718099891,0.576,0.261,0,"9","FOSL2"
"ITGB23",0,0.645192116647385,0.797,0.484,0,"9","ITGB2"
"CTNNB12",0,0.908011157394342,0.627,0.314,0,"9","CTNNB1"
"HSBP12",0,0.739645546104374,0.578,0.267,0,"9","HSBP1"
"LAMTOR2",0,0.996685179436294,0.544,0.234,0,"9","LAMTOR2"
"ALOX5AP2",0,1.40679104989886,0.683,0.373,0,"9","ALOX5AP"
"TKT1",0,0.828062072729073,0.643,0.333,0,"9","TKT"
"REL3",0,0.964541618508378,0.717,0.408,0,"9","REL"
"SAMHD13",0,0.845131898154211,0.696,0.387,0,"9","SAMHD1"
"PLEKHO1",0,0.92574303611383,0.517,0.209,0,"9","PLEKHO1"
"RALA",0,1.31474902712712,0.521,0.213,0,"9","RALA"
"VDAC11",0,0.761646729808399,0.62,0.314,0,"9","VDAC1"
"ETF1",0,0.950184977518935,0.502,0.196,0,"9","ETF1"
"PTMS1",0,0.599717957671343,0.527,0.222,0,"9","PTMS"
"SYNGR21",0,0.70893490236725,0.659,0.354,0,"9","SYNGR2"
"RAC13",0,1.00336822339976,0.848,0.544,0,"9","RAC1"
"SKIL1",0,0.64733218376456,0.558,0.255,0,"9","SKIL"
"RAPGEF1",0,0.883917472041906,0.504,0.201,0,"9","RAPGEF1"
"SAMSN11",0,0.730938395136993,0.622,0.319,0,"9","SAMSN1"
"CANX2",0,0.821705705515153,0.717,0.415,0,"9","CANX"
"RAB7A",0,0.844357430012149,0.694,0.392,0,"9","RAB7A"
"C4orf48",0,0.781054277649285,0.553,0.252,0,"9","C4orf48"
"ATP6AP21",0,0.925393362742701,0.652,0.351,0,"9","ATP6AP2"
"TUBA1C",0,0.793753936732839,0.544,0.244,0,"9","TUBA1C"
"MYO9B",0,0.872195800802753,0.534,0.234,0,"9","MYO9B"
"RHOB1",0,0.799544458729048,0.564,0.264,0,"9","RHOB"
"ARPC52",0,0.963171234151811,0.809,0.512,0,"9","ARPC5"
"RTN3",0,0.848379452699691,0.505,0.208,0,"9","RTN3"
"IER51",0,0.830344705290605,0.574,0.277,0,"9","IER5"
"SAT11",0,2.16242034835509,0.953,0.656,0,"9","SAT1"
"SERPINB6",0,0.736433784171561,0.528,0.232,0,"9","SERPINB6"
"CAPZA2",0,0.657898047958099,0.594,0.3,0,"9","CAPZA2"
"RAB5C",0,0.701754046997359,0.648,0.355,0,"9","RAB5C"
"CNPY31",0,0.68279778294578,0.582,0.29,0,"9","CNPY3"
"SERPINB13",0,0.792980348130757,0.677,0.386,0,"9","SERPINB1"
"RAB1A",0,0.699071218381332,0.541,0.251,0,"9","RAB1A"
"IFI61",0,1.68712835563702,0.574,0.284,0,"9","IFI6"
"MOB1A1",0,0.582595026874416,0.645,0.357,0,"9","MOB1A"
"TXN2",0,1.06181815369238,0.725,0.437,0,"9","TXN"
"CRTAP1",0,0.761357624338332,0.51,0.223,0,"9","CRTAP"
"NCKAP1L",0,0.571936599784652,0.508,0.221,0,"9","NCKAP1L"
"GPX42",0,1.06738781132583,0.834,0.548,0,"9","GPX4"
"GNG52",0,0.957744495024483,0.799,0.514,0,"9","GNG5"
"RNF1491",0,0.55876989744164,0.662,0.377,0,"9","RNF149"
"SSR31",0,0.590033132534977,0.614,0.331,0,"9","SSR3"
"M6PR",0,0.663635482264932,0.593,0.31,0,"9","M6PR"
"RRBP12",0,0.356886742092501,0.51,0.228,0,"9","RRBP1"
"EIF4A31",0,1.12956537963132,0.57,0.288,0,"9","EIF4A3"
"PKM3",0,0.831111652142259,0.77,0.489,0,"9","PKM"
"VMP13",0,0.301734815122729,0.604,0.323,0,"9","VMP1"
"LAPTM4A2",0,0.284019014968841,0.659,0.38,0,"9","LAPTM4A"
"CLTC",0,0.720500411026038,0.535,0.256,0,"9","CLTC"
"STXBP21",0,0.956605162534608,0.51,0.232,0,"9","STXBP2"
"POMP1",0,0.68066420418202,0.73,0.452,0,"9","POMP"
"VPS35",0,0.675843067769385,0.513,0.236,0,"9","VPS35"
"RHEB1",0,0.708161195340093,0.541,0.265,0,"9","RHEB"
"FERMT3",0,0.342192620096021,0.534,0.258,0,"9","FERMT3"
"RAB10",0,0.655869196591739,0.527,0.253,0,"9","RAB10"
"NFKB1",0,1.19599060131734,0.55,0.276,0,"9","NFKB1"
"PRDX13",0,0.98800091812651,0.752,0.481,0,"9","PRDX1"
"ZNF3311",0,0.641008853051953,0.532,0.262,0,"9","ZNF331"
"TOP11",0,0.563910896863133,0.637,0.367,0,"9","TOP1"
"GLRX",0,0.78003894108882,0.529,0.26,0,"9","GLRX"
"CLTA2",0,0.538145847987011,0.653,0.385,0,"9","CLTA"
"TSPO2",0,0.985369475270508,0.758,0.49,0,"9","TSPO"
"FAM49B1",0,0.444944187418365,0.604,0.336,0,"9","FAM49B"
"NOP10",0,0.730932267064428,0.649,0.382,0,"9","NOP10"
"ATP2B1",0,0.917061958740992,0.546,0.28,0,"9","ATP2B1"
"MAP3K2",0,0.571177383225863,0.565,0.299,0,"9","MAP3K2"
"LMNA2",0,0.733414518022651,0.546,0.281,0,"9","LMNA"
"SH3BP5",0,0.633392775333601,0.53,0.265,0,"9","SH3BP5"
"B4GALT11",0,0.649584752628545,0.533,0.268,0,"9","B4GALT1"
"MAT2A",0,0.649486830562689,0.55,0.288,0,"9","MAT2A"
"LITAF3",0,0.701991852256501,0.797,0.538,0,"9","LITAF"
"PPP1R15A3",0,0.539087310169518,0.738,0.479,0,"9","PPP1R15A"
"FKBP1A1",0,0.4011677487935,0.643,0.384,0,"9","FKBP1A"
"OS91",0,0.540694218184067,0.547,0.289,0,"9","OS9"
"JPT11",0,0.543469156595698,0.58,0.322,0,"9","JPT1"
"LCP24",0,0.373692735298282,0.628,0.371,0,"9","LCP2"
"PIM3",0,0.731154614489761,0.514,0.257,0,"9","PIM3"
"GSTP14",0,0.490965335399428,0.816,0.562,0,"9","GSTP1"
"LRPAP11",0,0.897957598990707,0.554,0.301,0,"9","LRPAP1"
"LAPTM52",0,0.911453062085453,0.919,0.666,0,"9","LAPTM5"
"GADD45B2",0,0.618241910426679,0.642,0.389,0,"9","GADD45B"
"DBI3",0,0.961617798813882,0.762,0.51,0,"9","DBI"
"ZYX2",0,0.507894559063016,0.625,0.373,0,"9","ZYX"
"SEC11A1",0,0.51067604565699,0.658,0.406,0,"9","SEC11A"
"PTEN1",0,0.4516107845988,0.524,0.273,0,"9","PTEN"
"PGLS",0,0.568239409245912,0.563,0.312,0,"9","PGLS"
"RHOG2",0,0.346084917268879,0.641,0.391,0,"9","RHOG"
"GNB11",0,0.342861257984907,0.668,0.419,0,"9","GNB1"
"FOS5",0,0.69729074661258,0.825,0.577,0,"9","FOS"
"PRNP",0,0.644117160781581,0.525,0.277,0,"9","PRNP"
"BST22",0,0.370507212034217,0.672,0.426,0,"9","BST2"
"MGST32",0,0.641162080316853,0.602,0.356,0,"9","MGST3"
"CD741",0,1.8746896525212,0.98,0.734,0,"9","CD74"
"SSR1",0,0.434341100970867,0.527,0.281,0,"9","SSR1"
"SUMO3",0,0.475300204154078,0.518,0.272,0,"9","SUMO3"
"ATP5PD",0,0.435605257844088,0.678,0.433,0,"9","ATP5PD"
"MYDGF1",0,0.535257531323254,0.549,0.304,0,"9","MYDGF"
"RPS93",0,0.491740732703036,0.664,0.419,0,"9","RPS9"
"IRF2BP2",0,0.471856585315553,0.5,0.255,0,"9","IRF2BP2"
"NFKBIZ",0,1.02043445707269,0.561,0.317,0,"9","NFKBIZ"
"BLOC1S11",0,0.480274450486796,0.667,0.423,0,"9","BLOC1S1"
"SNX21",0,0.356792638063577,0.51,0.266,0,"9","SNX2"
"RPL152",0,0.424125721443888,0.665,0.422,0,"9","RPL15"
"RPL233",0,0.576705535171816,0.621,0.378,0,"9","RPL23"
"ATF42",0,0.277284879225231,0.577,0.334,0,"9","ATF4"
"BHLHE40",0,0.512862648539254,0.503,0.261,0,"9","BHLHE40"
"NDUFB12",0,0.41379728620063,0.611,0.369,0,"9","NDUFB1"
"RPS243",0,0.393996267124629,0.681,0.44,0,"9","RPS24"
"ENO11",0,0.851733032741469,0.792,0.551,0,"9","ENO1"
"ENY2",0,0.292825932329144,0.61,0.369,0,"9","ENY2"
"SYAP1",0,0.406910271168748,0.534,0.294,0,"9","SYAP1"
"TAOK3",0,0.371293432532095,0.556,0.317,0,"9","TAOK3"
"SH3BGRL4",0,0.513771673119882,0.733,0.494,0,"9","SH3BGRL"
"WSB11",0,0.372535362377644,0.687,0.449,0,"9","WSB1"
"RPS162",0,0.279687464241864,0.659,0.422,0,"9","RPS16"
"PDE4B1",0,0.461271205333469,0.511,0.274,0,"9","PDE4B"
"SNX31",0,0.486839042946196,0.709,0.472,0,"9","SNX3"
"CKLF",0,0.501997097691248,0.623,0.386,0,"9","CKLF"
"RPS113",0,0.47244433048205,0.646,0.41,0,"9","RPS11"
"LAMTOR1",0,0.438319076950755,0.591,0.355,0,"9","LAMTOR1"
"RNF181",0,0.479173432879579,0.547,0.312,0,"9","RNF181"
"RPL27A2",0,0.362971718157876,0.636,0.401,0,"9","RPL27A"
"VASP1",0,0.392978158158178,0.562,0.329,0,"9","VASP"
"AP2M11",0,0.325899191160337,0.604,0.371,0,"9","AP2M1"
"MCL12",0,0.804049535257796,0.823,0.591,0,"9","MCL1"
"CD1642",0,0.429800247234889,0.677,0.446,0,"9","CD164"
"ROCK1",0,0.34466279648903,0.629,0.398,0,"9","ROCK1"
"ATP5MF1",0,0.512137206441166,0.725,0.496,0,"9","ATP5MF"
"IVNS1ABP",0,0.310911659393191,0.505,0.277,0,"9","IVNS1ABP"
"RPS202",0,0.261605537897456,0.612,0.384,0,"9","RPS20"
"VPS29",0,0.33065295869817,0.549,0.322,0,"9","VPS29"
"MT2A2",0,0.640243755192661,0.723,0.498,0,"9","MT2A"
"CHCHD101",0,0.415973335153235,0.588,0.363,0,"9","CHCHD10"
"LAMP11",0,0.807109514740885,0.602,0.378,0,"9","LAMP1"
"NDUFB22",0,0.470840650193558,0.732,0.51,0,"9","NDUFB2"
"NUFIP2",0,0.324085062270389,0.53,0.309,0,"9","NUFIP2"
"HM13",0,0.435909743338931,0.515,0.294,0,"9","HM13"
"RANBP2",0,0.541346375561988,0.517,0.297,0,"9","RANBP2"
"DNAJC151",0,0.257374563817992,0.526,0.308,0,"9","DNAJC15"
"ACTR22",0,0.455621969265169,0.77,0.553,0,"9","ACTR2"
"SRGN5",0,1.00798589722807,0.932,0.717,0,"9","SRGN"
"RPL36A1",0,0.29000482661902,0.569,0.358,0,"9","RPL36A"
"HERPUD12",0,0.589450614905713,0.708,0.499,0,"9","HERPUD1"
"ISG15",0,1.10975233304506,0.517,0.309,0,"9","ISG15"
"TPI13",0,0.673068932585585,0.792,0.588,0,"9","TPI1"
"CFLAR3",0,0.599117303354283,0.675,0.474,0,"9","CFLAR"
"GNAI23",0,0.600752376480927,0.827,0.627,0,"9","GNAI2"
"SLC2A31",0,0.548570591739468,0.608,0.409,0,"9","SLC2A3"
"LRRFIP12",0,0.382164068676501,0.773,0.577,0,"9","LRRFIP1"
"NEAT13",0,1.27989281067883,0.864,0.672,0,"9","NEAT1"
