"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LCP2",0,0.448522688364039,0.507,0.357,0,"0","LCP2"
"UXT",0,0.881709053407958,0.68,0.531,0,"0","UXT"
"PLAAT4",0,0.387567283926552,0.558,0.41,0,"0","PLAAT4"
"GAS5",0,1.11592487699985,0.654,0.506,0,"0","GAS5"
"CDKN1B",0,0.713946210284938,0.523,0.375,0,"0","CDKN1B"
"TNFAIP3",0,0.348809880953492,0.634,0.487,0,"0","TNFAIP3"
"CELF2",0,0.582968793842448,0.641,0.494,0,"0","CELF2"
"TUBA4A",0,0.273259729047894,0.576,0.429,0,"0","TUBA4A"
"SNHG8",0,0.759972005249554,0.63,0.484,0,"0","SNHG8"
"EIF3H",0,0.897045874467173,0.735,0.589,0,"0","EIF3H"
"ATM",0,0.797666648011609,0.507,0.361,0,"0","ATM"
"SF1",0,0.716167671215219,0.764,0.622,0,"0","SF1"
"EIF4B",0,0.82509349702699,0.699,0.557,0,"0","EIF4B"
"EIF3F",0,0.844257648587004,0.79,0.651,0,"0","EIF3F"
"TLE5",0,0.942425466856424,0.669,0.53,0,"0","TLE5"
"SMDT1",0,0.963107921552541,0.611,0.472,0,"0","SMDT1"
"ARHGEF1",0,0.544005269891363,0.581,0.443,0,"0","ARHGEF1"
"RNASET2",0,0.608246076336788,0.568,0.431,0,"0","RNASET2"
"CDC42SE2",0,0.673238836137613,0.519,0.383,0,"0","CDC42SE2"
"RSL1D1",0,0.883643926026358,0.554,0.419,0,"0","RSL1D1"
"HINT1",0,0.888597788902656,0.883,0.749,0,"0","HINT1"
"ADD3",0,0.766735711618637,0.507,0.375,0,"0","ADD3"
"CD44",0,0.327777085541703,0.71,0.578,0,"0","CD44"
"NSA2",0,0.783215731890317,0.64,0.509,0,"0","NSA2"
"EIF2S3",0,0.850211734053203,0.531,0.4,0,"0","EIF2S3"
"SMCHD1",0,0.494750491742688,0.641,0.512,0,"0","SMCHD1"
"SMAP2",0,0.28402780157865,0.683,0.555,0,"0","SMAP2"
"UCP2",0,0.394532939914604,0.571,0.443,0,"0","UCP2"
"UBALD2",0,0.75661865209366,0.555,0.429,0,"0","UBALD2"
"APRT",0,0.702096788603978,0.688,0.564,0,"0","APRT"
"MZT2A",0,0.714256018294825,0.543,0.42,0,"0","MZT2A"
"CNN2",0,0.685594375791889,0.554,0.431,0,"0","CNN2"
"ZC3HAV1",0,0.618714692290428,0.508,0.385,0,"0","ZC3HAV1"
"MZT2B",0,0.689239726066356,0.757,0.635,0,"0","MZT2B"
"COMMD6",0,0.758315167080549,0.859,0.737,0,"0","COMMD6"
"SNRPD2",0,0.765683597303674,0.785,0.664,0,"0","SNRPD2"
"PDCD4",0,0.570404280427798,0.553,0.433,0,"0","PDCD4"
"SNHG29",0,0.939828364587955,0.661,0.543,0,"0","SNHG29"
"ANKRD12",0,0.593178533340984,0.69,0.572,0,"0","ANKRD12"
"SNHG6",0,0.775142306039151,0.629,0.513,0,"0","SNHG6"
"VAMP2",0,0.533462346743049,0.643,0.528,0,"0","VAMP2"
"STK17B",0,0.308939780130958,0.649,0.536,0,"0","STK17B"
"ERP29",0,0.662230613424547,0.67,0.558,0,"0","ERP29"
"TOMM7",0,0.862170585068805,0.927,0.816,0,"0","TOMM7"
"SSR2",0,0.665349969735428,0.747,0.636,0,"0","SSR2"
"PEBP1",0,0.505869812012008,0.602,0.491,0,"0","PEBP1"
"ANKRD44",0,0.316217316883979,0.517,0.408,0,"0","ANKRD44"
